,code,room,start_time,end_time,date,day_of_week
154,PTC3360,CAEEL (Reunião),11:10,12:40,2023-08-10,qui
155,PTC3360,D1-02,11:10,12:40,2023-08-10,qui
156,PSI3572,B2-05,13:10,14:40,2023-08-10,qui
157,4323102?,D1-03,13:10,14:40,2023-08-10,qui
158,PEA3389,A1-22,14:00,17:20,2023-08-10,qui
159,PSI5740,B2-06,14:00,16:50,2023-08-10,qui
160,PCS3589/3889,B2-10,14:00,17:30,2023-08-10,qui
161,PSI3483,D1-04,14:00,15:30,2023-08-10,qui
162,PEA3440,B2-06,15:00,16:30,2023-08-10,qui
163,PTC3451,A2-44,15:50,17:20,2023-08-10,qui
164,PEA3550,B2-03,16:40,18:20,2023-08-10,qui
165,PSI3542,D1-03,16:50,18:20,2023-08-10,qui
166,Platão de Dúvidas - PTC3213,A2-44,17:00,17:50,2023-08-10,qui
167,PEA 5831,B2-09,18:00,20:00,2023-08-10,qui
168,PEA3392PV,A1-22,07:30,10:50,2023-08-11,sex
169,PTC3414,B2-03,07:30,09:00,2023-08-11,sex
170,PEA3521,B2-09,07:30,09:00,2023-08-11,sex
171,PTC3314,D1-01,07:30,09:00,2023-08-11,sex
172,PTC3314,D1-02,07:30,09:00,2023-08-11,sex
173,PSI3024,D1-03,07:30,09:00,2023-08-11,sex
174,Seminário Células Solares,C1-05,08:00,11:50,2023-08-11,sex
175,PEA3346,B2-05,08:20,10:50,2023-08-11,sex
176,PCS3838,B2-06,08:20,11:50,2023-08-11,sex
177,PCS3724,B2-12,08:20,09:50,2023-08-11,sex
178,PTC3421,A2-44,09:20,10:50,2023-08-11,sex
179,PTC3575,B2-01,09:20,10:50,2023-08-11,sex
180,PTC3492,B2-04,09:20,12:40,2023-08-11,sex
181,PSI3442,B2-06,09:20,10:50,2023-08-11,sex
182,PTC3313,B2-10,09:20,10:50,2023-08-11,sex
183,PTC3313,C1-30,09:20,10:50,2023-08-11,sex
184,PSI3024,C1-49,09:20,10:50,2023-08-11,sex
185,PTC3313,CAEEL (Defesa),09:20,10:50,2023-08-11,sex
186,PCS3746,B2-04,10:20,11:50,2023-08-11,sex
187,PTC3417,B2-03,11:10,12:40,2023-08-11,sex
188,PSI3322,CAEEL (Defesa),11:10,12:40,2023-08-11,sex
189,PSI3322,CAEEL (Reunião),11:10,12:40,2023-08-11,sex
190,PEA3201 Pv,A1-22,13:10,16:30,2023-08-11,sex
191,PEA3294PV,A2-37,13:10,16:30,2023-08-11,sex
192,PEA3393,B2-10,13:10,16:30,2023-08-11,sex
193,PEA3410,B2-12,13:10,14:40,2023-08-11,sex
194,PCS3110,D1-01,13:10,14:40,2023-08-11,sex
195,PCS3110,D1-02,13:10,14:40,2023-08-11,sex
196,4323102?,D1-03,13:10,14:40,2023-08-11,sex
197,PCS3110,D1-04,13:10,14:40,2023-08-11,sex
198,PCS3115,GD-06,13:10,14:40,2023-08-11,sex
199,PTC3572,A2-44,14:00,17:30,2023-08-11,sex
200,PCS3446,B2-05,14:00,15:30,2023-08-11,sex
201,PEA3100,B2-06,15:00,16:30,2023-08-11,sex
202,PEA5730,B2-09,17:00,19:50,2023-08-11,sex
