class_code,subject_code,subject_name,professor,start_period,end_period,created_by,week_day,start_time,end_time,building,classroom,floor
2023250,PHA3526,Projeto de Estações de Tratamento de Esgoto Sanitário,(R) Theo Syrto Octavio de Souza,2023-08-07,2023-12-21,civil-manual,qua,08:20,12:00,Civil,S08,
2023201,PCC3231,Tecnologia e Gestão da Produção de Obras Civis: Princípios e Fundamentos,(R) Luiz Reynaldo de Azevedo Cardoso,2023-08-07,2023-12-21,civil-manual,qua,07:30,10:10,Civil,S11,
2023202,PCC3231,Tecnologia e Gestão da Produção de Obras Civis: Princípios e Fundamentos,(R) Francisco Ferreira Cardoso,2023-08-07,2023-12-21,civil-manual,qua,07:30,10:10,Civil,S18,
2023203,PCC3231,Tecnologia e Gestão da Produção de Obras Civis: Princípios e Fundamentos,Renata Monte,2023-08-07,2023-12-21,civil-manual,qua,07:30,10:10,Civil,S09,
2023204,PCC3231,Tecnologia e Gestão da Produção de Obras Civis: Princípios e Fundamentos,(R) Hermes Fajersztajn,2023-08-07,2023-12-21,civil-manual,qua,07:30,10:10,Civil,S19,
2023201,PEF3516,"Modelagem, Simulação e Otimização Computacional na Engenharia Estrutural",(R) Edgard Sant Anna de Almeida Neto,2023-08-07,2023-12-21,civil-manual,qua,07:30,09:10,Civil,S10,
2023201,PTR3512,Ciência de Dados Geoespaciais e Análises Urbanas,(R) Mariana Abrantes Giannotti,2023-08-07,2023-12-21,civil-manual,qua,09:20,11:00,Civil,S13,
2023201,0313403,Manufatura Avançada na Construção,Cheng Liang Yee,2023-08-07,2023-12-21,civil-manual,qua,09:20,11:00,Civil,S15,
2023201,PCC3523,Desenvolvimento de Projetos Urbanos,(R) Karin Regina de Castro Marins,2023-08-07,2023-12-21,civil-manual,qua,13:10,14:50,Civil,S19,
2023201,PCC3102,Aplicação de Modelagem e Prototipagem em Projeto de Engenharia,(R) Cheng Liang Yee,2023-08-07,2023-12-21,civil-manual,qua,15:00,16:40,Civil,S19,
2023201,PTR3514,Sistemas Inteligentes de Transportes (ITS),(R) Claudio Luiz Marte,2023-08-07,2023-12-21,civil-manual,qua,07:30,09:10,Civil,S21,
2023201,PEF3502,Estruturas Subterrâneas,(R) Pedro Wellington Gonçalves do Nascimento Teixeira,2023-08-07,2023-12-21,civil-manual,qua,09:20,11:00,Civil,S21,
2023201,PEF3502,Estruturas Subterrâneas,(R) Pedro Wellington Gonçalves do Nascimento Teixeira,2023-08-07,2023-12-21,civil-manual,sex,09:20,11:00,Civil,S10,
2023201,PCC3522,Gestão de Portfólio de Investimento em Real Estate em Jogos de Empresas,(R) Eliane Monetti,2023-08-07,2023-12-21,civil-manual,qua,15:00,17:40,Civil,S21,
2023201,HSA0109,Gestão de Resíduos Sólidos,(R) Wanda Maria Risso Günther,2023-08-07,2023-12-21,civil-manual,qua,07:30,11:00,Civil,S24,
2023201,PEF3203,Resistência dos Materiais,(R) Edgard Sant Anna de Almeida Neto,2023-08-07,2023-12-21,civil-manual,qua,13:10,14:50,Civil,S26,
2023201,PEF3203,Resistência dos Materiais,(R) Edgard Sant Anna de Almeida Neto,2023-08-07,2023-12-21,civil-manual,sex,13:10,14:50,Civil,S26,
2023201,PTR0101,Topografia,(R) Edvaldo Simões da Fonseca Junior,2023-08-07,2023-12-21,civil-manual,qui,08:00,12:00,Civil,S04,
2023202,PTR0101,Topografia,(R) Edvaldo Simões da Fonseca Junior,2023-08-07,2023-12-21,civil-manual,qui,08:00,12:00,Civil,S04,
2023250,PHA3530,Gestão Ambiental de Obras de Engenharia,(R) Luis Cesar de Souza Pinto,2023-08-07,2023-12-21,civil-manual,qui,07:30,09:10,Civil,S05,
2023250,PHA3413,Tratamento de Esgoto Sanitário,(R) Theo Syrto Octavio de Souza,2023-08-07,2023-12-21,civil-manual,qui,08:20,11:00,Civil,S06,
2023250,PTR3012,Projeções Cartográficas para Planejamento e Projeto de Engenharia,(R) Flavio Guilherme Vaz de Almeida Filho,2023-08-07,2023-12-21,civil-manual,qui,15:00,16:40,Civil,S08,
2023201,PCC3101,Geometria Gráfica para Engenharia,Elsa Vásquez Alvarez,2023-08-07,2023-12-21,civil-manual,qui,09:20,11:00,Civil,S09,
2023201,PCC3528,Tecnologia do Concreto para Obras de Infraestrutura,Renata Monte,2023-08-07,2023-12-21,civil-manual,qui,07:30,11:00,Civil,S10,
2023201,PEF0514,Elementos de Geomecanica,(R) Fernando Antonio Medeiros Marinho,2023-08-07,2023-12-21,civil-manual,qui,08:00,12:00,Civil,S12,
2023201,PTR3532,Transporte Público Urbano,(R) Orlando Strambi,2023-08-07,2023-12-21,civil-manual,qui,09:20,11:00,Civil,S14,
2023201,PEF3503,"Diagnóstico, Recuperação e Reforço de Estruturas",(R) Leila Cristina Meneghetti Valverdes,2023-08-07,2023-12-21,civil-manual,qui,08:00,12:00,Civil,S19,
2023250,PHA3343,Análise de Sistemas Ambientais,(R) Renato Carlos Zambon,2023-08-07,2023-12-21,civil-manual,qui,08:20,11:00,Civil,S22,
2023201,PEF0522,Mecânica dos Solos e Fundações,Adrian Torrico Siacara,2023-08-07,2023-12-21,civil-manual,qui,08:00,12:00,Civil,S26,
2023202,PEF0522,Mecânica dos Solos e Fundações,Marcos Massao Futai,2023-08-07,2023-12-21,civil-manual,qui,08:00,12:00,Civil,S24,
2023201,PEF3402,Estruturas de Aço,(R) Eduardo de Morais Barreto Campello,2023-08-07,2023-12-21,civil-manual,sex,08:20,11:00,Civil,S06,
2023202,PEF3402,Estruturas de Aço,Daniel Miranda dos Santos,2023-08-07,2023-12-21,civil-manual,sex,08:20,11:00,Civil,S21,
2023203,PEF3402,Estruturas de Aço,Henrique Campelo Gomes,2023-08-07,2023-12-21,civil-manual,sex,08:20,11:00,Civil,S05,
2023201,PHA3402,"Portos, Obras Marítimas e de Navegação",(R) José Carlos de Melo Bernardino,2023-08-07,2023-12-21,civil-manual,sex,07:30,09:10,Civil,S14,
2023202,PHA3402,"Portos, Obras Marítimas e de Navegação",(R) Paolo Alfredini,2023-08-07,2023-12-21,civil-manual,sex,07:30,09:10,Civil,S09,
2023201,PHA3403,Barragens e Estruturas Hidráulicas,(R) José Rodolfo Scarati Martins,2023-08-07,2023-12-21,civil-manual,sex,09:20,11:00,Civil,S09,
