class_code,subject_code,subject_name,professor,start_period,end_period,created_by,week_day,start_time,end_time,building,classroom,floor
2023201,PCS3110,Algoritmos e Estruturas de Dados para Engenharia Elétrica,,2023-08-07,2023-12-21,eletrica_crawler,sex,13:10,14:50,eletrica,"D1-01,D1-02,D1-04",0
2023202,PCS3110,Algoritmos e Estruturas de Dados para Engenharia Elétrica,,2023-08-07,2023-12-21,eletrica_crawler,qua,09:20,11:00,eletrica,"B2-05,D1-01,D1-02",0
2023202,PCS3110,Algoritmos e Estruturas de Dados para Engenharia Elétrica,,2023-08-07,2023-12-21,eletrica_crawler,sex,13:10,14:50,eletrica,"D1-01,D1-02,D1-04",0
2023203,PCS3110,Algoritmos e Estruturas de Dados para Engenharia Elétrica,,2023-08-07,2023-12-21,eletrica_crawler,qua,09:20,11:00,eletrica,"B2-05,D1-01,D1-02",0
2023203,PCS3110,Algoritmos e Estruturas de Dados para Engenharia Elétrica,,2023-08-07,2023-12-21,eletrica_crawler,sex,13:10,14:50,eletrica,"D1-01,D1-02,D1-04",0
2023250,PCS3578,Sistemas Tolerantes a Falhas,,2023-08-07,2023-12-21,eletrica_crawler,qua,08:20,12:00,eletrica,B2-08,0
2023250,PCS3724,Redes de Computadores II,,2023-05-02,2023-08-18,eletrica_crawler,qua,14:00,15:40,eletrica,B2-09,0
2023250,PCS3724,Redes de Computadores II,,2023-05-02,2023-08-18,eletrica_crawler,sex,08:20,10:00,eletrica,C1-49,0
2023201,PSI3572,Computação Visual,,2023-08-07,2023-12-21,eletrica_crawler,qua,16:50,18:30,eletrica,B2-09,0
2023201,PSI3572,Computação Visual,,2023-08-07,2023-12-21,eletrica_crawler,qui,13:10,14:50,eletrica,B2-05,0
2023250,PTC3567,Ciência dos Dados em Automação e Engenharia,,2023-08-07,2023-12-21,eletrica_crawler,qua,07:30,11:00,eletrica,B2-09,0
2023201,PEA3416,Proteção e Automação de Sistemas Elétricos de Potência I,,2023-08-07,2023-12-21,eletrica_crawler,qua,15:00,16:40,eletrica,B2-10,0
2023201,PEA3288,Eletricidade I,,2023-08-07,2023-12-21,eletrica_crawler,qua,13:10,14:50,eletrica,B2-12,0
2023201,PRO3826,Fundamentos de Economia,,2023-05-02,2023-08-18,eletrica_crawler,qua,10:20,12:00,eletrica,B2-12,0
2023250,PTC3020,Sistemas de Controle,,2023-05-02,2023-08-18,eletrica_crawler,qua,08:20,10:00,eletrica,B2-12,0
2023250,PTC3020,Sistemas de Controle,,2023-05-02,2023-08-18,eletrica_crawler,qui,08:20,10:00,eletrica,,0
2023204,PCS3115,Sistemas Digitais I,,2023-08-07,2023-12-21,eletrica_crawler,qua,13:10,14:50,eletrica,C1-30,0
2023204,PCS3115,Sistemas Digitais I,,2023-08-07,2023-12-21,eletrica_crawler,sex,13:10,14:50,eletrica,GD-06,0
2023205,PCS3115,Sistemas Digitais I,,2023-08-07,2023-12-21,eletrica_crawler,qua,13:10,14:50,eletrica,C1-30,0
