,code,start_time,end_time,room,day_of_week
116,PCS3110,09:20,10:50,D1-01,qua
117,PCS3225,15:00,16:30,D1-01,qua
118,PSI3213,13:10,14:40,D1-01,qua
119,PCS3110,09:20,10:50,D1-02,qua
120,PCS3225,15:00,16:30,D1-02,qua
121,PSI3213,13:10,14:40,D1-02,qua
122,PTC3313,11:00,12:40,D1-02,qua
123,4323102,07:30,14:40,D1-03,qua
124,PCS3213,15:00,16:30,D1-03,qua
125,PSI3262,16:50,18:30,D1-03,qua
126,PSI3322,09:20,10:50,D1-03,qua
127,PCS3225,15:00,16:30,D1-04,qua
128,PSI3213,13:10,14:40,D1-04,qua
129,PSI3322,09:20,10:50,D1-04,qua
130,PTC3313,11:00,12:40,D1-04,qua
131,PSI3463,14:00,18:20,GD-04,qua
132,PSI3482,07:30,09:00,GD-04,qua
133,PCS3000,13:30,15:20,GD-05,qua
134,0323100,13:10,15:40,GD-06,qua
135,PCS3722,16:00,17:30,GD-06,qua
136,PSI3422,09:20,12:40,GD-06,qua
137,PEA3389,07:30,17:20,A1-22,qui
138,PTC3451,15:50,17:20,B2-01,qui
139,PTC3470,09:20,10:50,B2-01,qui
140,PTC3565,11:10,12:40,B2-01,qui
141,PTC3420,11:10,12:40,B2-03,qui
142,PEA3550,16:40,18:20,B2-05,qui
143,PSI3572,13:10,14:40,B2-05,qui
144,PTC3441,09:20,10:50,B2-05,qui
145,PCS3424,14:00,15:30,B2-08,qui
146,PCS3568,08:20,11:50,B2-08,qui
147,PSI5740,14:00,16:50,B2-09,qui
148,PTC3569,11:10,12:40,B2-09,qui
149,PEA5831,18:00,20:00,B2-10,qui
150,PEA3393,07:30,10:50,B2-10,qui
151,PEA3440,15:00,16:30,B2-10,qui
152,PCS3589,14:00,17:30,B2-12,qui
153,PRO3816,10:20,11:50,B2-12,qui
154,PTC2020,08:20,09:50,B2-12,qui
155,PSI3465,07:30,10:50,C1-05,qui
156,PEA3290,09:20,10:50,C1-30,qui
157,PEA3294,07:30,09:00,D1-01,qui
158,PTC3213,09:20,10:50,D1-01,qui
159,PTC3360,11:10,12:40,D1-01,qui
160,PTC3213,09:20,10:50,D1-02,qui
161,PTC3360,11:10,12:40,D1-02,qui
162,4323102,07:30,14:40,D1-03,qui
163,PTC3213,09:20,10:50,D1-04,qui
164,PTC3360,11:10,12:40,D1-04,qui
165,PSI3432,07:30,09:00,GD-04,qui
166,PSI3452,09:20,12:40,GD-04,qui
167,PSI3483,14:00,15:30,GD-04,qui
168,0323100,08:20,10:50,GD-06,qui
169,PSI3542,16:50,18:20,GD-06,qui
170,PEA3201,13:10,16:30,A1-22,sex
171,PEA3392,07:30,10:50,A1-22,sex
172,PTC3421,09:20,10:50,B2-01,sex
173,PTC3414,07:30,09:00,B2-03,sex
174,PTC3417,11:10,12:40,B2-03,sex
175,PTC3572,14:00,17:30,B2-03,sex
176,PTC3575,09:20,10:50,B2-03,sex
177,PTC3492,09:20,12:40,B2-05,sex
178,PCS3838,08:20,11:50,B2-08,sex
179,PCS3446,14:00,15:30,B2-09,sex
180,PSI3442,09:20,10:50,B2-09,sex
181,PEA3393,13:10,16:30,B2-10,sex
182,PEA3521,07:30,09:00,B2-10,sex
183,PEA5730,17:00,19:50,B2-10,sex
184,PEA3346,08:20,10:50,B2-12,sex
185,PEA3410,13:10,14:40,B2-12,sex
186,PEA3100,15:00,16:30,C1-30,sex
187,PTC3313,09:20,10:50,C1-30,sex
188,PCS3724,08:20,09:50,C1-49,sex
189,PCS3746,10:20,11:50,C1-49,sex
190,PCS3110,13:10,14:40,D1-01,sex
191,PTC3314,07:30,09:00,D1-01,sex
192,PCS3110,13:10,14:40,D1-02,sex
193,PTC3313,09:20,10:50,D1-02,sex
194,PTC3314,07:30,09:00,D1-02,sex
195,4323102,13:10,14:40,D1-03,sex
196,PSI3024,07:30,10:50,D1-03,sex
197,PSI3322,11:10,12:40,D1-03,sex
198,PCS3110,13:10,14:40,D1-04,sex
199,PSI3322,11:10,12:40,D1-04,sex
200,PTC3313,09:20,10:50,D1-04,sex
201,PCS3115,13:10,14:40,GD-06,sex
