,code,start_time,end_time,room,day_of_week
66,PTC3314,07:30,09:00,D1-01,ter
67,PTC3360,11:10,12:40,D1-01,ter
68,Apresentação - Lab de Programação,14:00,17:30,D1-02,ter
69,PME3344?,09:20,10:50,D1-02,ter
70,PTC3314,07:30,09:00,D1-02,ter
71,PTC3360,11:10,12:40,D1-02,ter
72,4323102?,13:10,16:30,D1-03,ter
73,PME3344?,09:20,10:50,D1-03,ter
74,Exercícios de PSI3213,16:50,18:20,D1-04,ter
75,PME3344?,09:20,10:50,D1-04,ter
76,PTC3360,11:10,12:40,D1-04,ter
77,PSI3432,09:20,10:50,GD-04,ter
78,0323100,13:10,15:40,GD-06,ter
79,PCS3021,18:50,20:00,GD-06,ter
80,PSI3472,07:30,09:00,GD-06,ter
81,PSI3542,16:50,18:20,GD-06,ter
82,PEA3294,13:10,16:30,A1-22,qua
83,PEA3392PV,07:30,10:50,A1-22,qua
84,PEA3294PV,13:10,16:30,A2-37,qua
85,PEA3418,07:30,10:50,A2-37,qua
86,PEA3424,16:50,18:20,A2-37,qua
87,PTC3414,07:30,09:00,B2-01,qua
88,PTC3421,09:20,10:50,B2-01,qua
89,PTC3449,14:00,15:30,B2-01,qua
90,PTC3452,15:50,17:10,B2-01,qua
91,PTC3575,11:10,12:40,B2-01,qua
92,0323150,14:00,16:50,B2-03,qua
93,PTC3417,11:10,12:40,B2-03,qua
94,PTC3467,07:30,10:50,B2-03,qua
95,PTC5880,17:00,19:50,B2-03,qua
96,PCS3110,09:20,10:50,B2-05,qua
97,PSI3211,07:30,09:00,B2-05,qua
98,PSI3213,13:10,14:40,B2-05,qua
99,PSI3321,18:00,19:30,B2-05,qua
100,PCS3422,14:00,15:30,B2-08,qua
101,PCS3438,16:00,17:30,B2-08,qua
102,PCS3578/3878,08:20,11:50,B2-08,qua
103,PCS3724,14:00,15:30,B2-09,qua
104,PSI3572,16:50,18:20,B2-09,qua
105,PTC3567,07:30,10:50,B2-09,qua
106,PEA3416,15:00,16:30,B2-10,qua
107,PEA3417,13:10,14:40,B2-10,qua
108,PEA5740,17:00,19:30,B2-10,qua
109,PEA5756,09:00,11:50,B2-10,qua
110,PEA3288,13:10,14:40,B2-12,qua
111,PRO3826,10:20,11:50,B2-12,qua
112,PSI5120,17:00,19:50,B2-12,qua
113,PTC3020,08:20,09:50,B2-12,qua
114,PSI3501,15:00,16:30,C1-05,qua
115,MAC0122,09:20,10:50,C1-30,qua
116,PCS3115,13:10,14:40,C1-30,qua
117,PEA3390,07:30,09:00,C1-30,qua
118,PTC3313,11:00,12:40,C1-30,qua
119,PCS3899,14:00,17:30,C1-49,qua
120,Seminário Células Solares,09:00,11:50,CAEEL (Defesa),qua
121,PCS3110,09:20,10:50,D1-01,qua
122,PCS3225,15:00,16:30,D1-01,qua
123,PSI3213,13:10,14:40,D1-01,qua
