,A1-22,A2-37,A2-44,B2-01,B2-03,B2-04,B2-05,B2-06,B2-08,B2-09,B2-10,B2-12,C1-05,C1-30,C1-49,CAEEL (Defesa),CAEEL (Reunião),D1-01,D1-02,D1-03,D1-04,GD-03,GD-04,GD-05,GD-06
17:20,,,,PTC3451,PTC3101,,PCS3579/3879,,,,,,,,,,,,Apresentação - Lab de Programação,,Exercícios de PSI3213,,,,PSI3542
17:30,,,,,PTC3101,,PCS3579/3879,,,,,,,,,,,,Apresentação - Lab de Programação,,Exercícios de PSI3213,,,,PSI3542
17:40,,,,,PTC3101,,,,,,,,,,,,,,,,Exercícios de PSI3213,,,,PSI3542
17:50,,,,,PTC3101,,,,,,,,,,,,,,,,Exercícios de PSI3213,,,,PSI3542
18:00,,,,,,,,,,,,,,,,,,,,,Exercícios de PSI3213,,,,PSI3542
18:10,,,,,,,,,,,,,,,,,,,,,Exercícios de PSI3213,,,,PSI3542
18:20,,,,,,,,,,,,,,,,,,,,,Exercícios de PSI3213,,,,PSI3542
18:30,,,,,,,,,,,,,,,,,,,,,,,,,
18:40,,,,,,,,,,,,,,,,,,,,,,,,,
18:50,,,,,,,,,,,,,,,,,,,,,,,,,PCS3021
19:00,,,,,,,,,,,,,,,,,,,,,,,,,PCS3021
19:10,,,,,,,,,,,,,,,,,,,,,,,,,PCS3021
19:20,,,,,,,,,,,,,,,,,,,,,,,,,PCS3021
19:30,,,,,,,,,,,,,,,,,,,,,,,,,PCS3021
19:40,,,,,,,,,,,,,,,,,,,,,,,,,PCS3021
19:50,,,,,,,,,,,,,,,,,,,,,,,,,PCS3021
20:00,,,,,,,,,,,,,,,,,,,,,,,,,PCS3021
