,code,room,start_time,end_time,date,day_of_week
152,PTC3360,CAEEL (Defesa),11:10,12:40,2023-08-10,Thursday
153,PTC3360,CAEEL (Reunião),11:10,12:40,2023-08-10,Thursday
154,PTC3360,D1-02,11:10,12:40,2023-08-10,Thursday
155,PSI3572,B2-05,13:10,14:40,2023-08-10,Thursday
156,4323102?,D1-03,13:10,14:40,2023-08-10,Thursday
157,PEA3389,A1-22,14:00,17:20,2023-08-10,Thursday
158,PSI5740,B2-06,14:00,16:50,2023-08-10,Thursday
159,PCS3589/3889,B2-10,14:00,17:30,2023-08-10,Thursday
160,PSI3483,D1-04,14:00,15:30,2023-08-10,Thursday
161,PEA3440,B2-06,15:00,16:30,2023-08-10,Thursday
162,PTC3451,A2-44,15:50,17:20,2023-08-10,Thursday
163,PEA3550,B2-03,16:40,18:20,2023-08-10,Thursday
164,PSI3542,D1-03,16:50,18:20,2023-08-10,Thursday
165,Platão de Dúvidas - PTC3213,A2-44,17:00,17:50,2023-08-10,Thursday
166,PEA 5831,B2-09,18:00,20:00,2023-08-10,Thursday
167,PEA3392PV,A1-22,07:30,10:50,2023-08-11,Friday
168,PTC3414,B2-03,07:30,09:00,2023-08-11,Friday
169,PEA3521,B2-09,07:30,09:00,2023-08-11,Friday
170,PTC3314,D1-01,07:30,09:00,2023-08-11,Friday
171,PTC3314,D1-02,07:30,09:00,2023-08-11,Friday
172,PSI3024,D1-03,07:30,09:00,2023-08-11,Friday
173,PEA3346,B2-05,08:20,10:50,2023-08-11,Friday
174,PCS3838,B2-06,08:20,11:50,2023-08-11,Friday
175,PCS3724,B2-12,08:20,09:50,2023-08-11,Friday
176,PTC3421,A2-44,09:20,10:50,2023-08-11,Friday
177,PTC3575,B2-01,09:20,10:50,2023-08-11,Friday
178,PTC3492,B2-04,09:20,12:40,2023-08-11,Friday
179,PSI3442,B2-06,09:20,10:50,2023-08-11,Friday
180,PTC3313,B2-10,09:20,10:50,2023-08-11,Friday
181,PTC3313,C1-49,09:20,10:50,2023-08-11,Friday
